filter_size,learning_rate,sample,rmse,std,coverage
3,0.0001,1,0.9031452422091726,0.794085365505278,98.48714069591527
3,0.0001,2,0.9036378366059302,1.186582877083699,99.94957135653051
3,0.0001,5,0.9071437366513881,1.8282715973908683,100.0
3,0.0001,10,0.9126820883468659,2.717587324854055,100.0
3,0.0005,1,0.7730072160659673,0.4379837149884708,90.11598587997983
3,0.0005,2,0.7722781166524352,0.5723404624934246,96.52042360060514
3,0.0005,5,0.7812012534339671,0.8933457910566721,99.69742813918305
3,0.0005,10,0.7749999489436025,1.1550820259593915,99.89914271306102
3,0.001,1,0.7428072497412156,0.3381578138084956,83.45940494200707
3,0.001,2,0.7511225796570704,0.5196471693094304,95.15885022692889
3,0.001,5,0.7585097785893992,0.808621393273563,99.39485627836612
3,0.001,10,0.7438068242265825,1.1709699070372976,100.0
5,0.0001,1,0.9460452182238485,0.478127246261004,87.03983862834089
5,0.0001,2,0.9497930660452564,0.5929202186530526,91.47755925365607
5,0.0001,5,0.9494106219074339,1.0692771333160378,99.4957135653051
5,0.0001,10,0.9503403372273397,1.4396557830159367,100.0
5,0.0005,1,0.7692710345544845,0.4332675951752091,89.46041351487645
5,0.0005,2,0.7667540746305695,0.5202925999248478,94.50327786182552
5,0.0005,5,0.7736972334029069,0.9924907923270505,99.79828542612204
5,0.0005,10,0.7710371779131426,1.1486964814058083,99.84871406959152
5,0.001,1,0.7665119658971974,0.2860692158847525,75.74382249117498
5,0.001,2,0.7672888862400784,0.41831940884809415,89.00655572365103
5,0.001,5,0.770433862719014,0.6922911767153319,98.58799798285426
5,0.001,10,0.7678636376537836,0.925382193580106,99.84871406959152
7,0.0001,1,0.9343349237200358,0.47578701441517374,86.93898134140191
7,0.0001,2,0.9339430346952261,0.6480768061745777,95.51185073121533
7,0.0001,5,0.9382466879168467,1.1363319870335675,99.4452849218356
7,0.0001,10,0.9361519659387012,1.5131470930597322,99.94957135653051
7,0.0005,1,0.7959723836340351,0.49337081624353185,93.24256177508825
7,0.0005,2,0.7956207796947949,0.703438974632537,98.73928391326274
7,0.0005,5,0.7965564462243933,1.0995922183122322,99.79828542612204
7,0.0005,10,0.7975772907042566,1.3900011001098282,100.0
7,0.001,1,0.7445655436719276,0.34060587137984183,84.16540595057992
7,0.001,2,0.7442384591289348,0.522092522276627,94.75542107917298
7,0.001,5,0.7535359637022172,0.8396311494565809,99.54614220877458
7,0.001,10,0.7485727153665539,1.153754592024475,100.0
